Lower case	Upper case	Translit	spell	Notes
𝐚	𝐚			mathematical bold small a
𝐛	𝐛			mathematical bold small b
𝐜	𝐜			mathematical bold small c
𝐝	𝐝			mathematical bold small d
𝐞	𝐞			mathematical bold small e
𝐟	𝐟			mathematical bold small f
𝐠	𝐠			mathematical bold small g
𝐡	𝐡			mathematical bold small h
𝐢	𝐢			mathematical bold small i
𝐣	𝐣			mathematical bold small j
𝐤	𝐤			mathematical bold small k
𝐥	𝐥			mathematical bold small l
𝐦	𝐦			mathematical bold small m
𝐧	𝐧			mathematical bold small n
𝐨	𝐨			mathematical bold small o
𝐩	𝐩			mathematical bold small p
𝐪	𝐪			mathematical bold small q
𝐫	𝐫			mathematical bold small r
𝐬	𝐬			mathematical bold small s
𝐭	𝐭			mathematical bold small t
𝐮	𝐮			mathematical bold small u
𝐯	𝐯			mathematical bold small v
𝐰	𝐰			mathematical bold small w
𝐱	𝐱			mathematical bold small x
𝐲	𝐲			mathematical bold small y
𝐳	𝐳			mathematical bold small z
𝑎	𝑎			mathematical italic small a
𝑏	𝑏			mathematical italic small b
𝑐	𝑐			mathematical italic small c
𝑑	𝑑			mathematical italic small d
𝑒	𝑒			mathematical italic small e
𝑓	𝑓			mathematical italic small f
𝑔	𝑔			mathematical italic small g
𝑖	𝑖			mathematical italic small i
𝑗	𝑗			mathematical italic small j
𝑘	𝑘			mathematical italic small k
𝑙	𝑙			mathematical italic small l
𝑚	𝑚			mathematical italic small m
𝑛	𝑛			mathematical italic small n
𝑜	𝑜			mathematical italic small o
𝑝	𝑝			mathematical italic small p
𝑞	𝑞			mathematical italic small q
𝑟	𝑟			mathematical italic small r
𝑠	𝑠			mathematical italic small s
𝑡	𝑡			mathematical italic small t
𝑢	𝑢			mathematical italic small u
𝑣	𝑣			mathematical italic small v
𝑤	𝑤			mathematical italic small w
𝑥	𝑥			mathematical italic small x
𝑦	𝑦			mathematical italic small y
𝑧	𝑧			mathematical italic small z
𝒂	𝒂			mathematical bold italic small a
𝒃	𝒃			mathematical bold italic small b
𝒄	𝒄			mathematical bold italic small c
𝒅	𝒅			mathematical bold italic small d
𝒆	𝒆			mathematical bold italic small e
𝒇	𝒇			mathematical bold italic small f
𝒈	𝒈			mathematical bold italic small g
𝒉	𝒉			mathematical bold italic small h
𝒊	𝒊			mathematical bold italic small i
𝒋	𝒋			mathematical bold italic small j
𝒌	𝒌			mathematical bold italic small k
𝒍	𝒍			mathematical bold italic small l
𝒎	𝒎			mathematical bold italic small m
𝒏	𝒏			mathematical bold italic small n
𝒐	𝒐			mathematical bold italic small o
𝒑	𝒑			mathematical bold italic small p
𝒒	𝒒			mathematical bold italic small q
𝒓	𝒓			mathematical bold italic small r
𝒔	𝒔			mathematical bold italic small s
𝒕	𝒕			mathematical bold italic small t
𝒖	𝒖			mathematical bold italic small u
𝒗	𝒗			mathematical bold italic small v
𝒘	𝒘			mathematical bold italic small w
𝒙	𝒙			mathematical bold italic small x
𝒚	𝒚			mathematical bold italic small y
𝒛	𝒛			mathematical bold italic small z
𝒶	𝒶			mathematical script small a
𝒷	𝒷			mathematical script small b
𝒸	𝒸			mathematical script small c
𝒹	𝒹			mathematical script small d
𝒻	𝒻			mathematical script small f
𝒽	𝒽			mathematical script small h
𝒾	𝒾			mathematical script small i
𝒿	𝒿			mathematical script small j
𝓀	𝓀			mathematical script small k
𝓁	𝓁			mathematical script small l
𝓂	𝓂			mathematical script small m
𝓃	𝓃			mathematical script small n
𝓅	𝓅			mathematical script small p
𝓆	𝓆			mathematical script small q
𝓇	𝓇			mathematical script small r
𝓈	𝓈			mathematical script small s
𝓉	𝓉			mathematical script small t
𝓊	𝓊			mathematical script small u
𝓋	𝓋			mathematical script small v
𝓌	𝓌			mathematical script small w
𝓍	𝓍			mathematical script small x
𝓎	𝓎			mathematical script small y
𝓏	𝓏			mathematical script small z
𝓪	𝓪			mathematical bold script small a
𝓫	𝓫			mathematical bold script small b
𝓬	𝓬			mathematical bold script small c
